Date,Open,High,Low,Close,Total Trade Quantity
2014-11-25,31.0,32.0,30.55,31.1,69230.0
2014-11-26,31.25,31.4,30.5,30.85,73875.0
2014-11-27,31.05,31.05,30.5,30.7,53867.0
2014-11-28,30.9,30.9,30.3,30.55,38144.0
2014-12-01,30.35,31.95,30.35,30.5,77949.0
2014-12-02,30.7,30.8,30.25,30.4,48014.0
2014-12-03,30.3,30.65,30.3,30.35,26953.0
2014-12-04,30.55,30.55,30.2,30.35,31939.0
2014-12-05,31.5,31.5,30.25,30.3,65322.0
2014-12-08,30.3,30.5,30.25,30.25,58700.0
2014-12-09,30.5,30.6,30.15,30.2,51268.0
2014-12-10,30.25,30.5,30.1,30.15,54747.0
2014-12-11,30.25,30.5,30.15,30.15,78919.0
2014-12-12,30.45,30.5,30.15,30.25,65307.0
2014-12-15,30.2,31.3,30.2,30.2,47813.0
2014-12-16,30.4,30.4,30.0,30.1,81793.0
2014-12-17,30.0,30.4,27.8,30.25,185652.0
2014-12-18,30.65,30.95,30.15,30.3,127735.0
2014-12-19,30.45,30.45,30.1,30.2,41186.0
2014-12-22,30.5,30.5,30.1,30.15,51823.0
2014-12-23,30.4,30.9,30.1,30.3,119006.0
2014-12-24,30.5,30.5,30.15,30.25,91034.0
2014-12-26,30.4,30.4,30.1,30.2,98753.0
2014-12-29,30.35,30.4,30.1,30.2,55993.0
2014-12-30,30.35,31.4,30.15,30.9,75329.0
2014-12-31,31.0,31.35,30.35,30.6,84117.0
2015-01-01,30.45,31.0,30.25,30.4,37604.0
2015-01-02,30.4,30.95,30.35,30.75,76443.0
2015-01-05,30.9,31.4,30.4,30.85,32024.0
2015-01-06,30.85,30.9,30.2,30.25,58283.0
2015-01-07,30.25,30.55,30.25,30.35,53013.0
2015-01-08,30.85,31.0,30.4,30.9,39491.0
2015-01-09,31.0,31.0,30.35,30.6,20967.0
2015-01-12,30.75,36.7,30.35,36.7,255207.0
2015-01-13,37.0,44.0,37.0,43.85,792926.0
2015-01-14,45.4,46.9,43.0,45.7,319962.0
2015-01-15,46.0,47.5,42.15,45.65,103198.0
2015-01-16,46.6,46.6,43.9,44.35,57398.0
2015-01-19,44.6,45.0,42.0,42.3,52476.0
2015-01-20,42.5,44.8,42.2,43.6,67217.0
2015-01-21,43.6,44.0,42.2,43.1,28818.0
2015-01-22,43.0,43.0,40.4,42.5,46766.0
2015-01-23,42.5,42.95,40.1,41.3,32714.0
2015-01-27,40.25,41.2,39.1,40.55,40002.0
2015-01-28,40.0,41.5,39.0,41.15,41930.0
2015-01-29,40.65,41.0,39.55,40.25,40327.0
2015-01-30,39.4,40.8,39.0,39.1,24678.0
2015-02-02,39.0,40.25,39.0,39.15,19889.0
2015-02-03,39.05,39.95,38.3,38.5,42886.0
2015-02-04,39.0,39.45,38.5,39.3,36198.0
2015-02-05,40.0,40.0,38.25,38.5,32503.0
2015-02-06,38.5,39.4,38.25,38.55,30880.0
2015-02-09,38.6,39.95,38.0,38.25,30369.0
2015-02-10,39.0,39.0,38.1,38.3,31861.0
2015-02-11,38.9,40.0,36.75,38.4,73405.0
2015-02-12,38.9,40.0,37.45,37.7,22541.0
2015-02-13,39.7,39.7,36.5,37.0,29719.0
2015-02-16,38.0,40.25,35.5,37.5,66317.0
2015-02-18,38.5,39.0,36.15,36.55,48472.0
2015-02-19,36.55,37.5,36.05,36.5,47223.0
2015-02-20,36.55,37.8,35.95,36.1,22197.0
2015-02-23,36.7,37.0,35.5,36.3,32539.0
2015-02-24,38.5,38.5,35.5,36.3,18803.0
2015-02-25,36.5,37.95,35.5,35.65,33931.0
2015-02-26,35.9,36.25,35.0,35.25,39422.0
2015-02-27,36.0,37.0,35.2,35.85,35887.0
2015-02-28,36.3,42.8,35.5,36.05,24481.0
2015-03-02,36.0,36.9,35.0,35.35,40025.0
2015-03-03,35.7,36.0,35.3,35.65,38004.0
2015-03-04,35.8,36.0,35.4,35.65,33908.0
2015-03-05,35.7,35.95,35.25,35.6,12808.0
2015-03-09,35.55,36.2,35.25,35.6,13870.0
2015-03-10,35.7,35.95,35.0,35.35,15804.0
2015-03-11,35.5,35.8,35.05,35.1,36521.0
2015-03-12,35.5,36.5,35.25,35.5,35479.0
2015-03-13,36.0,36.0,35.25,35.35,13287.0
2015-03-16,35.95,35.95,35.25,35.3,10373.0
2015-03-17,35.55,35.95,34.6,35.3,21547.0
2015-03-18,35.5,35.95,35.05,35.1,37646.0
2015-03-19,35.5,35.7,35.05,35.2,35215.0
2015-03-20,35.9,35.9,35.0,35.1,23011.0
2015-03-23,35.25,35.9,34.4,34.5,38282.0
2015-03-24,35.15,35.7,34.55,34.7,169783.0
2015-03-25,34.6,35.0,33.75,34.1,45637.0
2015-03-26,34.0,34.9,33.75,33.9,44920.0
2015-03-27,34.6,35.4,33.3,33.95,139638.0
2015-03-30,34.25,34.95,33.75,34.55,13182.0
2015-03-31,34.55,38.3,33.95,35.6,27313.0
2015-04-01,36.5,38.95,35.8,37.35,64023.0
2015-04-06,38.0,38.5,37.15,37.9,76750.0
2015-04-07,38.45,39.0,36.55,37.0,24470.0
2015-04-08,36.9,37.75,36.3,37.25,15200.0
2015-04-09,36.5,42.7,35.5,40.2,203863.0
2015-04-10,39.7,42.25,38.8,40.7,51565.0
2015-04-13,40.0,41.0,36.45,37.55,97369.0
